sample_id,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_koseri,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_amycolatum,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Dermabacteraceae|g__Dermabacter|s__Dermabacter_hominis,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_warneri,k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Ureaplasma|s__Ureaplasma_parvum,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Clostridioides|s__Clostridioides_difficile,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_agalactiae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sp_HMSC71H05,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Dermabacteraceae|g__Dermabacter|s__Dermabacter_vaginalis,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_variicola,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_quasipneumoniae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_aeruginosa_group,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_hominis,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_avidum,k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Finegoldia|s__Finegoldia_magna,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia_marcescens,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_aureus,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_capitis,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_haemolysans,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_HMSC067H01,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis
S2_001_006W1,69.37455,28.36533,0.7604,0.68631,0.39746,0.30188,0.11407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_006Y1,99.95611,0.01587,0,0,0,0,0,0.02802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_010G1,94.49785,0,0.00164,0,0.30508,0,0,0,5.134,0.06142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_011G1,99.70376,0,0,0,0.25622,0,0,0,0.03546,0.00456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_012G1,99.58958,0,0.00923,0,0.38989,0,0,0,0.0113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_013G1,96.51959,0,0,0,1.69539,0,0,0,0.01961,0.00632,1.75909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_014G1,90.29292,0,0,0,2.7502,0,0,0,6.32288,0.02437,0.60962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_015G1,83.00259,0,0,0,4.18418,0,0,0,12.20176,0.00298,0.60848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_016G1,77.66958,0,0,0,13.96425,0,0,0,7.73666,0.01483,0.61468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_017G1,78.8567,0,0,0,7.88015,0,0,0,12.22554,0.02106,1.01656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_018G1,61.87672,0,0.00118,0,6.69691,0,0,0,30.62411,0.03875,0.76233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_019G1,81.6226,0,0,0,10.12418,0,0,0,6.75368,0.0475,1.45204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_020G1,76.69517,0,0,0,4.36532,0,0,0,18.08884,0.04189,0.80877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_021G1,93.0563,0,0,0,3.74155,0,0,0,2.29851,0.03013,0.85648,0.01702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_023G1,72.43154,0,0,0,8.91302,0,0,0,17.54936,0.03014,1.03644,0,0.01296,0.01249,0.01157,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_023W1,50.51136,11.73725,0,34.72987,0.77795,0.54592,0,0,0,0,0,0.19841,0,0,0,0,1.46977,0.02687,0.0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_023Y1,96.65696,0.14683,0,6.9e-4,0.09661,0,0,0,0,0,0,2.32761,0,0,0,0,0.7713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_024G1,81.56288,0,0,0,13.08737,0,0,0,4.04093,0.00322,1.24702,0,0.0407,0.01789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_025G1,75.07582,0,0,0,4.23784,0,0,0,12.59209,0,0.87588,0,0.00179,0.01216,6.18404,0,0,0,0,0.87078,0.14961,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_026G1,71.67775,0,0,0,11.57931,0,0,0,12.3067,0,1.02084,0.03873,0.02047,0.01777,2.93895,0,0,0,0,0.34603,0.05344,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_027G1,46.96419,0,0,0,9.69951,0,0,0,16.89805,0,1.84001,0,0.00554,0.02678,21.40751,0,0,0,0,2.66665,0.49175,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_005_005G1,0.01988,0,0,0,2.91832,0,0,3.28041,0,0,0,0,93.76384,0.00563,0.00202,0,0,0,0,0,0,0.00989,0,0,0,0,0,0,0,0,0,0,0,0
S2_005_006G1,0.04632,0.16871,0,0,1.32253,0,0,1.67769,0.00338,0,0,0,96.72375,0.03663,0.01768,0,0,0,0,0.00331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_005_007G1,0.48352,0,0,0,0,0,0,0.09757,0.10352,0,0,0,0.80647,39.84819,44.96468,0,0,0,0,9.08879,4.60726,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_005_008G1,0.07835,0,0,0,0,0,0,0.00358,0.00182,0,0,0,0.12091,39.75221,46.07901,0,0,0,0,9.79195,4.17217,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_005_011G1,0.02465,0.02927,0,0,9.54996,0,0,0,7.6e-4,0,0,0,0.01189,60.30877,23.01177,0,0,0,0,4.48069,1.86034,0,0.72189,0,0,0,0,0,0,0,0,0,0,0
S2_005_012W1,0,8.3675,0.59593,0,0,0,0.05469,0,0,0,0,0,0,68.1651,7.15165,0,0,0,0,2.20665,0.60029,0,12.81636,0.04183,0,0,0,0,0,0,0,0,0,0
S2_005_014G1,0.0435,0.16158,0,0,3.59495,0,0,0,0.00122,0,0,0,0.05314,85.648929999999993,5.56262,0,0,0,0,1.30978,0.44372,0,2.47437,0,0.66022,0.04597,0,0,0,0,0,0,0,0
S2_005_014Y1,0.02656,6.13708,0,0,1.64497,0,0,0,0,0,0,0,0,67.86953,8.21991,0,0,0,0,2.06021,0.45255,0,11.82362,1.76556,0,0,0,0,0,0,0,0,0,0
S2_005_015G1,0.35332,0.16459,0,0,3.69678,0,0,0,0.01995,0,0,0,0.01025,85.86433,6.0259,0,0,0,0,1.28901,0.56445,0,1.32714,0,0.63911,0.04517,0,0,0,0,0,0,0,0
S2_005_016G1,0,0.04619,0,0,16.99592,0,0,0,0,0,0,0,0,64.20912,10.19885,0,0,0,0,2.17231,0.7736,0.54438,0.02013,0,4.87568,0.16383,0,0,0,0,0,0,0,0
S2_005_017G1,0,0.05305,0,0,31.0932,0,0,0,0,0,0,0,0,54.84833,7.73767,0,0,0,0,1.76384,0.70998000000000006,0.23942,0,0,3.487,0.06706,4.5e-4,0,0,0,0,0,0,0
S2_005_018G1,0,0.07182,0,0,29.69725,0,0,0,0,0,0,0,0,58.35522,6.00276,0,0,0,0,1.39836,0.4832,1.66867,0.02208,0,2.23652,0.05793,0.00618,0,0,0,0,0,0,0
S2_005_019G1,0,0.26169,0,0,53.21148,0,0,0,0,0,0,0,0,38.25367,2.8629,0,0,0,0,0.59728,0.29367,0.64463,0,0,2.9653,0.05098,0.8584,0,0,0,0,0,0,0
S2_005_020G1,0,0.11981,0,0,28.45656,0,0,0,0,0,0,0,0,64.02007,2.66903,0,0,0,0,0.54307,0.36484,0.59797,0,0,1.65725,0.00286,1.56854,0,0,0,0,0,0,0
S2_005_021G1,0,0.20318,0,0,15.38898,0,0,0,0,0,0,0,0,70.40208,4.54963,0,0,0,0,0.81024,0.37451,2.01334,0,0,3.81106,0.00577,2.4412,0,0,0,0,0,0,0
S2_005_022G1,0,0.04593,0,0,23.04989,0,0,0,0,0,0,0,0,27.71951,3.38373,0,0,0,0,0.77571,0.18007,31.87128,0.01533,0,2.43105,0,10.5275,0,0,0,0,0,0,0
S2_005_022W1,0,18.77617,0.98375,0.33688,23.4363,0,0,0,0,0,0,0,0,31.5171,1.18029,0,0,0,0,0.31464,0,0.08197,5.24381,11.34175,0.48224,0,2.77129,3.23109,0.30272,0,0,0,0,0
S2_005_023G1,0,0.14569,0,0,73.37266,0,0,0,0,0,0,0,0,3.74445,0.31252,0,0,0,0,0.02015,0.01893,22.0122,0,0.0018600000000000001,0.10238,0.0112,0.21534,0.04261,0,0,0,0,0,0
S2_005_024G1,0,0.00424,0,0,32.79992,0,0,0,0,0,0,0,0,34.08409,4.30848,0,0,0,0,0.93004,0.337,9.84532,0,0,12.56775,0,5.12316,0,0,0,0,0,0,0
S2_005_025G1,0,0.04344,0,0,39.61514,0,0,0,0,0,0,0,0,36.32358,5.6214,0,0,0,0,1.15173,0.42369,3.2015,0,0,8.88236,0.00524,4.73192,0,0,0,0,0,0,0
S2_005_026G1,0,0,0,0,32.48732,0,0,0,0,0,0,0,0,25.15184,14.09829,0,0,0,0,2.99699,1.1364,0.8159,0,0,22.28649,0.03995,0.98683,0,0,0,0,0,0,0
S2_005_027G1,0,0.02107,0,0,21.47687,0,0,0,0,0,0,0,0,37.57501,10.00849,0,0,0,0,2.05723,0.80017,9.42567,0,0,4.21693,0,14.41812,4.5e-4,0,0,0,0,0,0
S2_005_028G1,0,0.07606,0,0,14.52983,0,0,0,0,0,0,0,0,68.89671,3.08803,0,0,0,0,0.75414,0.34138,4.63466,0,0,5.29036,0,2.38885,0,0,0,0,0,0,0
S2_005_028Y1,0,0.2123,0,0,0.6078,0,0,0,0,0,0,0,0,34.72616,0.89258,0,26.54892,0,0,0,0.08134,0,0,0,0,0,12.56049,0.05348,0,23.12072,0.5225,0.34662,0.27417,0.05292
